transaction_id,date,amount_sgd,currency,narrative
T067,05-12-2025,45000,SGD,Incoming from online gambling platform
T068,06-12-2025,9850,SGD,Cash deposit pattern resumed after regulator visit
T069,07-12-2025,100000,SGD,Incoming from Seychelles IBC – “loan repayment”
T070,08-12-2025,9950,SGD,Cash deposit by different runners every day
T071,09-12-2025,20000,SGD,Multiple PayNow from strangers – message “gift”
T072,10-12-2025,9800,SGD,Cash deposit – customer refuses to provide source of funds
T073,11-12-2025,60000,SGD,Crypto layering through 20 accounts
T074,12-12-2025,9900,SGD,Cash deposit pattern – customer uses different IDs
T075,13-12-2025,40000,SGD,Funnel account activity intensified before year-end
T076,14-12-2025,9950,SGD,Cash deposit just below threshold – customer waiting for next person
T077,15-12-2025,150000,SGD,Trade-based laundering – carousel fraud indicators
T078,16-12-2025,9850,SGD,Cash deposit every business day
T079,17-12-2025,50000,SGD,Incoming from high-risk jurisdiction then immediate integration
T080,18-12-2025,9800,SGD,Cash deposit – customer filming transaction
T081,19-12-2025,30000,SGD,Transfer to mule network
T082,20-12-2025,9900,SGD,Cash deposit pattern – amount increases gradually
T083,21-12-2025,45000,SGD,Incoming from unlicensed remittance operator
T084,22-12-2025,9950,SGD,Cash deposit by third party network
T085,23-12-2025,200000,SGD,Highly suspicious trade transaction – red flags in documentation
T086,24-12-2025,9850,SGD,Cash deposit pattern before Christmas
T087,25-12-2025,9800,SGD,Cash deposit on public holiday
T088,26-12-2025,50000,SGD,Crypto on-ramp then offshore wire
T089,27-12-2025,9900,SGD,Cash deposit – customer says “last one for the year”
T090,28-12-2025,40000,SGD,Multiple incoming from high-risk corridors
T091,29-12-2025,9950,SGD,"Cash deposit pattern – different branches, same amount"
T092,30-12-2025,9800,SGD,Final cash deposit of the year – customer smiling says “just nice below 10k”
T093,01-11-2025,25000,SGD,Incoming PayNow from 47 different individuals in one day
T094,02-11-2025,9800,SGD,Cash deposit – customer uses motorcycle to visit 4 branches
T095,03-11-2025,60000,SGD,Layering through 22 accounts in 48 hours
T096,04-11-2025,9900,SGD,Cash deposit every Tuesday and Thursday
T097,05-11-2025,150000,SGD,Trade payment with multiple red flags – vessel name mismatch
T098,06-11-2025,9850,SGD,Cash deposit by different individuals – coordinated timing
T099,07-11-2025,30000,SGD,Transfer to account with PEP linkage
T100,08-11-2025,9950,SGD,Cash deposit pattern – amount exactly 9950 for 20 days
T101,09-11-2025,45000,SGD,Incoming from high-risk virtual asset platform
T102,10-11-2025,9800,SGD,Cash deposit – customer refuses CCTV capture
T103,11-11-2025,100000,SGD,Incoming from Panama company – “dividends”
T104,12-11-2025,9900,SGD,Cash deposit daily pattern resumed
T105,13-11-2025,50000,SGD,Crypto integration through multiple accounts
T106,14-11-2025,9850,SGD,Cash deposit by runners using Grab
T107,15-11-2025,20000,SGD,Multiple incoming from online gambling sites
T108,16-11-2025,9950,SGD,Cash deposit just below threshold – pattern continues
T109,17-11-2025,150000,SGD,Highly suspicious trade transaction – quantity mismatch
T110,18-11-2025,9800,SGD,Cash deposit every day including weekends
T111,19-11-2025,40000,SGD,Funnel account – rapid turnover
T112,20-11-2025,9900,SGD,Cash deposit pattern – different counters same branch
T113,21-11-2025,60000,SGD,Layering through corporate accounts
T114,22-11-2025,9850,SGD,Cash deposit by coordinated group
T115,23-11-2025,25000,SGD,Multiple PayNow from strangers
T116,24-11-2025,9950,SGD,Cash deposit pattern – amount increases weekly
T117,25-11-2025,30000,SGD,Transfer to high-risk jurisdiction
T118,26-11-2025,9800,SGD,Cash deposit – customer waiting outside for next runner
T119,27-11-2025,150000,SGD,Trade-based laundering indicators present
T120,28-11-2025,9900,SGD,Final structuring deposit before month-end reporting
