transaction_id,masked_narrative,aml_tags,risk_score,explanation,original_narrative,amount_sgd,date,error
T038,Trade-based laundering – over-invoicing of rice export,['trade-based laundering'],8.0,"The transaction involves trade-based laundering through over-invoicing, a common method to disguise the movement of illicit funds. The high amount and specific mention of over-invoicing indicate a significant risk.",Trade-based laundering – over-invoicing of rice export,150000.0,06-11-2025,
T039,Cash deposit followed by PayNow to 25 different phones,"['structuring', 'smurfing']",8.0,"The transaction involves a cash deposit followed by transfers to 25 different phones, which is indicative of structuring and smurfing. These techniques are used to avoid detection by breaking down large amounts into smaller, less suspicious transactions. The use of multiple phone numbers suggests an attempt to disperse funds across different accounts, increasing the risk score.",Cash deposit followed by PayNow to 25 different phones,9850.0,07-11-2025,
T040,Incoming from unlicensed money changer,"['structuring', 'trade-based laundering']",8.0,"The transaction involves a large amount of money coming from an unlicensed money changer, which is a red flag for potential money laundering activities. The use of unlicensed entities can indicate attempts to bypass regulatory scrutiny, and the amount suggests possible structuring or trade-based laundering.",Incoming from unlicensed money changer,50000.0,08-11-2025,
T041,Cash deposit – customer filming the teller,['structuring'],8.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which is indicative of structuring. Additionally, the unusual behavior of filming the teller suggests potential suspicious activity.",Cash deposit – customer filming the teller,9900.0,09-11-2025,
T042,Funnel account – 87 incoming transfers in 3 days,['funnel'],9.0,"The transaction is flagged as a funnel account activity due to a high number of incoming transfers (87) within a short period (3 days). This pattern is indicative of money laundering, where funds are consolidated from multiple sources into a single account before being moved elsewhere. The risk score is high due to the volume and frequency of transactions, which is characteristic of funnel accounts used in laundering schemes.",Funnel account – 87 incoming transfers in 3 days,40000.0,10-11-2025,
T043,Cash deposit every Friday evening,"['structuring', 'smurfing']",7.0,"The transaction involves regular cash deposits just below the reporting threshold, which is indicative of structuring or smurfing to avoid detection. The consistent pattern of deposits every Friday evening suggests an attempt to evade AML controls.",Cash deposit every Friday evening,9800.0,11-11-2025,
T044,Transfer to mule account opened with fake passport,"['structuring', 'funnel']",9.0,"The transaction involves transferring a significant amount to a mule account, which is a common method in funneling and structuring schemes. The use of a fake passport to open the account further indicates fraudulent activity and high risk.",Transfer to mule account opened with fake passport,30000.0,12-11-2025,
T045,Cash deposit pattern – amount increases by $50 every week,['structuring'],7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, and the pattern of increasing deposits by $50 each week suggests an attempt to avoid detection by structuring deposits to remain under the reporting limit.",Cash deposit pattern – amount increases by $50 every week,9950.0,13-11-2025,
T046,Incoming from online casino then immediate cash withdrawal,['gambling'],8.0,"The transaction involves funds coming from an online casino followed by an immediate cash withdrawal, which is indicative of potential money laundering through gambling activities. This pattern is suspicious as it may be used to disguise the origin of funds.",Incoming from online casino then immediate cash withdrawal,20000.0,14-11-2025,
T047,Cash deposit by third party – says “boss asked me to”,"['structuring', 'smurfing']",7.5,"The transaction involves a cash deposit by a third party, which is a common method used in structuring and smurfing to avoid detection. The mention of 'boss asked me to' suggests possible layering or involvement of multiple parties to obscure the origin of funds. The amount is just below the typical reporting threshold, indicating potential structuring.",Cash deposit by third party – says “boss asked me to”,9800.0,15-11-2025,
T048,Trade payment for “used clothing” – value highly suspicious,['trade-based laundering'],8.0,"The transaction involves a large amount for 'used clothing', which is unusual and suggests possible trade-based money laundering. The narrative itself indicates suspicion, warranting a high risk score.",Trade payment for “used clothing” – value highly suspicious,120000.0,16-11-2025,
T049,Cash deposit just below threshold – customer waiting outside for next person,"['structuring', 'smurfing']",8.0,"The transaction amount is just below the reporting threshold, which is a common indicator of structuring. The narrative suggests coordination with another person, indicating possible smurfing. These factors contribute to a high risk score.",Cash deposit just below threshold – customer waiting outside for next person,9900.0,17-11-2025,
T050,Multiple incoming from high-risk remittance corridor,"['structuring', 'funnel']",8.0,"The transaction involves multiple incoming transfers from a high-risk remittance corridor, which is indicative of structuring and funneling activities. These are common methods used to obscure the origin of funds and evade detection, thus posing a high risk for money laundering.",Multiple incoming from high-risk remittance corridor,45000.0,18-11-2025,
T051,"Cash deposit pattern – same amount, different branches","['structuring', 'smurfing']",8.0,"The transaction exhibits signs of structuring and smurfing, as it involves cash deposits of the same amount across different branches. This pattern is often used to avoid detection by financial institutions and regulatory bodies, indicating a high risk of money laundering.","Cash deposit pattern – same amount, different branches",9850.0,19-11-2025,
T052,,,,,Incoming crypto then layered through 15 accounts,60000.0,20-11-2025,"Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766"", 'type': None, 'param': 'prompt', 'code': 'content_filter', 'status': 400, 'innererror': {'code': 'ResponsibleAIPolicyViolation', 'content_filter_result': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': True, 'detected': True}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}"
T053,"Cash deposit – customer nervous, keeps looking around",['structuring'],8.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which is a common indicator of structuring. The customer's nervous behavior further raises suspicion of attempting to avoid detection.","Cash deposit – customer nervous, keeps looking around",9950.0,21-11-2025,
T054,,,,,Transfer to account with no legitimate economic activity,35000.0,22-11-2025,"Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766"", 'type': None, 'param': 'prompt', 'code': 'content_filter', 'status': 400, 'innererror': {'code': 'ResponsibleAIPolicyViolation', 'content_filter_result': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': True, 'detected': True}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}"
T055,Cash deposit every day for 30 days,"['structuring', 'smurfing']",8.0,"The transaction pattern suggests structuring, where deposits are made in amounts just below reporting thresholds to avoid detection. Daily deposits over a period of 30 days indicate smurfing, a method used to break down large amounts into smaller, less suspicious transactions. This behavior is consistent with attempts to evade AML controls.",Cash deposit every day for 30 days,9800.0,23-11-2025,
T056,Over-invoicing of palm oil export to related party,['trade-based laundering'],8.0,"The transaction involves over-invoicing, which is a common method of trade-based money laundering. The involvement of a related party increases the risk as it may facilitate the manipulation of invoices to move illicit funds.",Over-invoicing of palm oil export to related party,180000.0,24-11-2025,
T057,Cash deposit followed by immediate overseas telegraphic transfer,"['structuring', 'funnel']",8.0,"The transaction involves a cash deposit followed by an immediate overseas transfer, which is indicative of structuring and funneling. The amount is just below the typical reporting threshold, suggesting an attempt to avoid detection. This pattern is commonly associated with money laundering activities.",Cash deposit followed by immediate overseas telegraphic transfer,9900.0,25-11-2025,
T058,Incoming from unlicensed money lender,['unlicensed_money_lending'],8.0,"The transaction involves funds from an unlicensed money lender, which is a high-risk activity due to potential involvement in illegal lending practices and money laundering. This raises significant AML concerns.",Incoming from unlicensed money lender,40000.0,26-11-2025,
T059,Cash deposit by different individuals – same handwriting on deposit slip,"['structuring', 'smurfing']",8.0,"The transaction involves cash deposits by different individuals, which suggests smurfing or structuring to avoid detection. The same handwriting on deposit slips indicates coordination among the individuals, increasing the risk of money laundering.",Cash deposit by different individuals – same handwriting on deposit slip,9850.0,27-11-2025,
T060,Multiple small deposits from ATMs in Johor Bahru,"['structuring', 'smurfing']",8.0,"The transaction involves multiple small deposits from ATMs, which is indicative of structuring or smurfing to avoid detection. The use of ATMs in Johor Bahru suggests cross-border activity, increasing the risk.",Multiple small deposits from ATMs in Johor Bahru,25000.0,28-11-2025,
T061,Cash deposit pattern – customer uses taxi to visit multiple branches,"['structuring', 'smurfing']",8.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, suggesting possible structuring to avoid detection. The narrative indicates the customer visits multiple branches, which is a common smurfing technique to break down large amounts into smaller deposits. These factors combined indicate a high risk of money laundering.",Cash deposit pattern – customer uses taxi to visit multiple branches,9950.0,29-11-2025,
T062,Incoming from high-risk virtual asset service provider,['crypto'],8.0,"The transaction involves a high-risk virtual asset service provider, indicating potential exposure to crypto-related AML risks. The amount is significant, increasing the risk score.",Incoming from high-risk virtual asset service provider,50000.0,30-11-2025,
T063,Cash deposit – customer says “don’t report lah”,['structuring'],8.0,"The transaction amount is just below the typical reporting threshold, and the customer's request not to report suggests an attempt to avoid detection, indicating potential structuring.",Cash deposit – customer says “don’t report lah”,9800.0,01-12-2025,
T064,Trade payment for “scrap copper” – price 400% above market,['trade-based laundering'],8.0,"The transaction involves a trade payment for scrap copper at a price significantly above market value, which is indicative of trade-based money laundering. The inflated price suggests an attempt to disguise the movement of illicit funds under the guise of legitimate trade.",Trade payment for “scrap copper” – price 400% above market,150000.0,02-12-2025,
T065,Cash deposit daily – amount exactly 9900 for 45 days,"['structuring', 'smurfing']",9.0,"The transaction pattern suggests structuring, where deposits are made just below the reporting threshold to avoid detection. The consistent amount and frequency indicate smurfing, a method to break down large sums into smaller, less suspicious amounts. This behavior is highly indicative of money laundering activities.",Cash deposit daily – amount exactly 9900 for 45 days,9900.0,03-12-2025,
T066,Transfer to newly opened account with minimum documentation,['structuring'],7.0,"The transaction involves a transfer to a newly opened account with minimal documentation, which is a common indicator of structuring. The amount is significant, and the lack of documentation raises concerns about the legitimacy of the account and the source of funds.",Transfer to newly opened account with minimum documentation,30000.0,04-12-2025,
T067,Incoming from online gambling platform,['gambling'],7.0,"The transaction is flagged due to its origin from an online gambling platform, which is a common channel for money laundering activities. The amount is significant, increasing the risk score.",Incoming from online gambling platform,45000.0,05-12-2025,
T068,Cash deposit pattern resumed after regulator visit,['structuring'],8.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which suggests structuring to avoid detection. The narrative indicates a resumption of a pattern after a regulator visit, further increasing suspicion of deliberate avoidance of regulatory scrutiny.",Cash deposit pattern resumed after regulator visit,9850.0,06-12-2025,
T069,Incoming from Seychelles IBC – “loan repayment”,['trade-based laundering'],8.0,"The transaction involves a large amount of money coming from a Seychelles International Business Company (IBC), which is a common structure used in trade-based money laundering. The narrative 'loan repayment' is often used to disguise the true nature of the transaction. Seychelles is known for its offshore financial services, which can be used to obscure the origin of funds.",Incoming from Seychelles IBC – “loan repayment”,100000.0,07-12-2025,
T070,Cash deposit by different runners every day,"['structuring', 'smurfing']",8.0,"The transaction involves cash deposits by different individuals ('runners') every day, which is indicative of structuring or smurfing. The amount is just below the typical reporting threshold, suggesting an attempt to avoid detection. This pattern is commonly used to launder money by breaking down large sums into smaller, less suspicious amounts.",Cash deposit by different runners every day,9950.0,08-12-2025,
T071,Multiple PayNow from strangers – message “gift”,"['structuring', 'smurfing']",8.0,"The transaction involves multiple PayNow transfers from strangers with the message 'gift', which is indicative of structuring or smurfing to avoid detection. The use of vague narratives like 'gift' further raises suspicion of potential money laundering activities.",Multiple PayNow from strangers – message “gift”,20000.0,09-12-2025,
T072,Cash deposit – customer refuses to provide source of funds,['structuring'],7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which may indicate structuring to avoid detection. Additionally, the customer's refusal to provide the source of funds raises suspicion.",Cash deposit – customer refuses to provide source of funds,9800.0,10-12-2025,
T073,Crypto layering through 20 accounts,"['crypto', 'layering']",8.0,"The transaction involves crypto layering, which is a method used to obscure the origin of funds by passing them through multiple accounts. The use of 20 accounts suggests a complex structuring effort to hide the source and destination of funds, indicating a high risk of money laundering.",Crypto layering through 20 accounts,60000.0,11-12-2025,
T074,Cash deposit pattern – customer uses different IDs,"['structuring', 'smurfing']",8.0,"The transaction involves cash deposits using different IDs, which is indicative of structuring and smurfing. The amount is just below the typical reporting threshold, suggesting an attempt to avoid detection by breaking down larger amounts into smaller deposits.",Cash deposit pattern – customer uses different IDs,9900.0,12-12-2025,
T075,Funnel account activity intensified before year-end,['funnel'],8.0,"The narrative suggests funnel account activity, which is a method used to move funds through multiple accounts to obscure the origin and destination. The mention of intensified activity before year-end could indicate an attempt to finalize laundering operations before financial audits, increasing the risk score.",Funnel account activity intensified before year-end,40000.0,13-12-2025,
T076,Cash deposit just below threshold – customer waiting for next person,"['structuring', 'smurfing']",8.0,"The transaction amount is just below the typical reporting threshold, which is indicative of structuring. The narrative suggests the customer is waiting for another person, which may imply smurfing, where funds are divided into smaller amounts to avoid detection.",Cash deposit just below threshold – customer waiting for next person,9950.0,14-12-2025,
T077,Trade-based laundering – carousel fraud indicators,['trade-based laundering'],9.0,"The transaction is flagged for trade-based laundering with carousel fraud indicators, which is a complex form of money laundering involving the movement of goods and invoices to create a circular flow of funds. This typology is highly risky due to its sophisticated nature and potential for large-scale financial crime.",Trade-based laundering – carousel fraud indicators,150000.0,15-12-2025,
T078,Cash deposit every business day,"['structuring', 'smurfing']",8.0,"The transaction involves cash deposits just below the reporting threshold of 10,000 SGD, occurring every business day, which is indicative of structuring or smurfing to avoid detection.",Cash deposit every business day,9850.0,16-12-2025,
T079,Incoming from high-risk jurisdiction then immediate integration,['trade-based laundering'],8.0,"The transaction involves funds coming from a high-risk jurisdiction and immediate integration, which is indicative of trade-based money laundering. The high amount further increases the risk.",Incoming from high-risk jurisdiction then immediate integration,50000.0,17-12-2025,
T080,Cash deposit – customer filming transaction,['structuring'],7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which may indicate structuring to avoid detection. Additionally, the act of filming the transaction suggests unusual behavior that could be associated with illicit activities.",Cash deposit – customer filming transaction,9800.0,18-12-2025,
T081,Transfer to mule network,['funnel'],9.0,"The narrative 'Transfer to mule network' suggests involvement in a funnel scheme, where funds are moved through a network of accounts to obscure their origin. This is a high-risk activity indicative of money laundering.",Transfer to mule network,30000.0,19-12-2025,
T082,Cash deposit pattern – amount increases gradually,['structuring'],8.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which is indicative of structuring. The narrative suggests a pattern of increasing amounts, which is a common method to avoid detection by breaking down large sums into smaller, less suspicious amounts.",Cash deposit pattern – amount increases gradually,9900.0,20-12-2025,
T083,Incoming from unlicensed remittance operator,['unlicensed_remittance'],8.0,"The transaction involves an incoming transfer from an unlicensed remittance operator, which is a significant AML risk due to potential involvement in illegal activities and lack of regulatory oversight.",Incoming from unlicensed remittance operator,45000.0,21-12-2025,
T084,Cash deposit by third party network,"['structuring', 'smurfing']",8.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which is indicative of structuring. The narrative suggests involvement of a third party network, which could imply smurfing, where funds are divided into smaller amounts to avoid detection. These factors contribute to a high risk score.",Cash deposit by third party network,9950.0,22-12-2025,
T085,Highly suspicious trade transaction – red flags in documentation,['trade-based laundering'],8.0,"The transaction is flagged as highly suspicious with red flags in documentation, indicating potential trade-based money laundering. The large amount involved further increases the risk.",Highly suspicious trade transaction – red flags in documentation,200000.0,23-12-2025,
T086,Cash deposit pattern before Christmas,['structuring'],7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which may indicate structuring to avoid detection. The narrative suggests a pattern, possibly indicating repeated similar transactions, which is a common method used in structuring.",Cash deposit pattern before Christmas,9850.0,24-12-2025,
T087,Cash deposit on public holiday,['structuring'],7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which may indicate structuring to avoid detection. Additionally, the deposit on a public holiday is unusual and may suggest an attempt to avoid scrutiny.",Cash deposit on public holiday,9800.0,25-12-2025,
T088,Crypto on-ramp then offshore wire,['crypto'],8.0,"The transaction involves converting funds into cryptocurrency and then transferring them offshore, which is a common method for obscuring the origin and destination of funds. This is indicative of potential money laundering activities, especially given the use of crypto and offshore elements.",Crypto on-ramp then offshore wire,50000.0,26-12-2025,
T089,Cash deposit – customer says “last one for the year”,['structuring'],7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which is indicative of structuring. The narrative suggests this is a deliberate attempt to avoid reporting, as the customer mentions 'last one for the year', implying multiple similar transactions may have occurred.",Cash deposit – customer says “last one for the year”,9900.0,27-12-2025,
